"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"08-May-2019","     2968.90","     2991.10","     2949.00","     2959.50","       91165223","         1599.86"
"09-May-2019","     2959.45","     2973.00","     2905.10","     2917.10","       75203817","         1358.83"
"10-May-2019","     2928.95","     2944.20","     2855.05","     2872.50","      116341181","         2910.68"
"13-May-2019","     2862.60","     2868.30","     2805.50","     2820.85","       69842092","         1506.10"
"14-May-2019","     2801.50","     2852.15","     2787.95","     2837.90","      124242089","         2206.38"
"15-May-2019","     2845.20","     2863.30","     2767.00","     2778.40","       90068380","         1556.29"
"16-May-2019","     2788.20","     2819.65","     2760.35","     2810.85","       80146535","         1404.41"
"17-May-2019","     2800.70","     2821.70","     2779.20","     2807.25","       69715606","         1225.65"
"20-May-2019","     2875.00","     2927.70","     2856.65","     2899.15","       76801082","         1315.07"
"21-May-2019","     2912.55","     2913.00","     2839.20","     2854.25","       62948602","         1077.02"
"22-May-2019","     2852.20","     2879.15","     2826.40","     2864.45","       91162224","         1550.48"
"23-May-2019","     2904.80","     2910.35","     2811.15","     2822.00","      100656475","         1565.35"
"24-May-2019","     2839.45","     2910.60","     2804.35","     2904.30","       87403573","         1561.42"
"27-May-2019","     2898.45","     2972.55","     2887.40","     2965.70","       88464809","         1843.22"
"28-May-2019","     2972.00","     3020.85","     2969.30","     2992.95","      150197289","         2781.60"
"29-May-2019","     2985.10","     2986.85","     2927.85","     2937.30","       88244602","         1465.56"
"30-May-2019","     2939.10","     2946.65","     2914.30","     2924.50","       89231022","         1595.76"
