"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"26-Apr-2019","     3136.25","     3166.65","     3118.10","     3162.00","       82700884","         1139.89"
"30-Apr-2019","     3158.80","     3158.90","     3016.40","     3056.35","      117301072","         1580.15"
"02-May-2019","     3038.35","     3098.05","     3027.65","     3056.35","       98490076","         1319.97"
"03-May-2019","     3074.65","     3116.50","     3065.80","     3089.60","       81859311","         1126.09"
"06-May-2019","     3048.70","     3078.45","     3039.05","     3048.50","       60392338","          847.53"
"07-May-2019","     3068.55","     3083.50","     2969.35","     2981.30","       74099886","         1049.61"
"08-May-2019","     2973.20","     3003.60","     2927.80","     2940.10","       99039678","         1411.35"
"09-May-2019","     2937.30","     2972.10","     2918.25","     2947.40","       77652378","          990.84"
"10-May-2019","     2969.10","     3047.80","     2932.95","     3022.50","      150580540","         2771.20"
"13-May-2019","     3019.20","     3038.75","     2857.05","     2871.45","      181342858","         2601.92"
"14-May-2019","     2877.20","     2971.40","     2836.00","     2953.30","      145009300","         2085.16"
"15-May-2019","     2951.30","     2963.60","     2890.90","     2900.50","      131414906","         1799.62"
"16-May-2019","     2910.70","     2923.70","     2859.40","     2912.35","      111300916","         1374.60"
"17-May-2019","     2908.15","     2961.95","     2881.45","     2949.20","      113787385","         1600.99"
"20-May-2019","     3082.60","     3202.15","     3052.45","     3181.45","      175603071","         3044.10"
"21-May-2019","     3193.40","     3226.45","     3117.70","     3141.40","      138943335","         2254.70"
"22-May-2019","     3149.80","     3168.15","     3103.90","     3155.60","      130841862","         2070.89"
"23-May-2019","     3253.50","     3399.25","     3127.85","     3150.65","      315239651","         5374.17"
"24-May-2019","     3179.10","     3345.40","     3169.55","     3326.90","      184398531","         2930.84"
"27-May-2019","     3325.00","     3408.40","     3317.65","     3394.95","      148459277","         2415.45"
"28-May-2019","     3400.85","     3423.50","     3338.25","     3370.55","      187718366","         2525.60"
"29-May-2019","     3353.70","     3355.55","     3269.65","     3275.90","      133629424","         2008.69"
"30-May-2019","     3281.80","     3312.55","     3260.55","     3289.25","      118713169","         1888.69"
