"","stock_id","day","interval","alpha","beta","alpha_std","beta_std","alpha_t","beta_t","alpha_p","beta_p","r_adj"
"177",8,2,120,-0.0035,0.25335,7e-04,0.14583,-4.99847,1.73726,0,0.08422,0.0120829176547886
"178",8,2,180,-0.00343,0.26094,0.00093,0.19423,-3.70125,1.34347,0.00034,0.18191,0.00726418999314782
"179",8,2,300,-0.00253,0.43265,0.00087,0.1816,-2.898,2.38243,0.00514,0.02018,0.0671100871949514
"180",8,2,360,-0.003,0.3208,0.00111,0.22951,-2.68868,1.39776,0.00957,0.16801,0.0173554490777005
"181",8,2,600,-0.00087,0.78131,0.00088,0.18295,-0.986,4.27058,0.33177,0.00017,0.350093841043817
"182",8,3,60,-0.00361,0.24677,0.00041,0.08568,-8.69545,2.88001,0,0.00424,0.0214989259432992
"183",8,3,120,-0.00404,0.15249,0.00044,0.09012,-9.1308,1.69212,0,0.09252,0.01116652384355
"184",8,3,180,-0.00351,0.26235,0.00056,0.11334,-6.26133,2.31465,0,0.02251,0.0381049963537087
"185",8,3,300,-0.00378,0.19775,0.00061,0.12107,-6.24,1.6334,0,0.10729,0.0250196393730577
"186",8,3,360,-0.00374,0.20344,0.00073,0.1436,-5.1466,1.41668,0,0.16243,0.0183063457877534
"187",8,3,600,-0.00392,0.14678,0.00066,0.12341,-5.89343,1.18931,0,0.24335,0.0127862435085961
"188",8,4,60,-0.00453,0.0503,0.00034,0.06982,-13.33053,0.72048,0,0.47174,-0.00145063947026092
"189",8,4,120,-0.00425,0.10274,0.00042,0.08532,-10.08768,1.20414,0,0.23027,0.00271961012326394
"190",8,4,180,-0.00394,0.16185,0.00055,0.11054,-7.13674,1.4642,0,0.14602,0.0102918391336271
"191",8,4,300,-0.00377,0.18628,0.00081,0.15874,-4.67434,1.17345,2e-05,0.24496,0.00576643933690568
"192",8,4,360,-0.00319,0.30102,9e-04,0.17678,-3.54103,1.70277,0.00084,0.09447,0.0339790563809027
"193",8,4,600,-0.00372,0.16883,0.00113,0.21493,-3.28206,0.78553,0.00255,0.43811,-0.0121119137214147
"194",9,1,60,-0.00472,0.0623,0.00058,0.11623,-8.17208,0.53599,0,0.59233,-0.00214488229825172
"195",9,1,120,-0.00325,0.39554,0.00078,0.15172,-4.16988,2.60698,5e-05,0.00997,0.033739724829545
"196",9,1,180,-0.00051,0.97327,0.00097,0.18413,-0.51867,5.28576,0.60503,0,0.195298073971734
"197",9,1,300,-0.00137,0.83502,0.0011,0.1949,-1.25185,4.28435,0.21511,6e-05,0.208212328136662
"198",9,1,360,-0.00013,1.08624,0.00127,0.21824,-0.1062,4.97733,0.91581,1e-05,0.301798030610404
"199",9,1,600,-0.00133,0.93949,0.00183,0.28586,-0.72974,3.28653,0.47086,0.00247,0.228995144394914
"200",9,2,60,-0.00443,0.04987,0.00075,0.15708,-5.88894,0.31749,0,0.75107,-0.00270760362037392
"201",9,2,120,-0.00127,0.69371,0.00086,0.17821,-1.48175,3.89274,0.14032,0.00014,0.0785630187467603
"202",9,2,180,-0.00026,0.89677,0.00122,0.25481,-0.21538,3.51935,0.82987,0.00063,0.0930320632969148
"203",9,2,300,0.00078,1.0685,0.00141,0.29319,0.5544,3.64434,0.58121,0.00053,0.156885568045813
"204",9,2,360,0.00055,0.99705,0.00175,0.36121,0.31583,2.76031,0.75335,0.00787,0.10742227601193
"205",9,2,600,0.00032,0.8561,0.00234,0.4868,0.13831,1.75865,0.89086,0.0882,0.0596374960222299
"206",9,3,60,-0.00337,0.27835,0.00055,0.11362,-6.12373,2.44983,0,0.01481,0.0147977583734996
"207",9,3,120,-0.00127,0.70356,0.00075,0.15271,-1.69399,4.60713,0.09215,1e-05,0.108608412151062
"208",9,3,180,-0.0013,0.68339,0.00087,0.17657,-1.48724,3.87033,0.13981,0.00018,0.111853951964217
"209",9,3,300,0.00077,1.08805,0.001,0.20012,0.77119,5.43708,0.44339,0,0.302043831786856
"210",9,3,360,0.00142,1.21824,0.0011,0.21859,1.28615,5.57309,0.20388,0,0.353392861642414
"211",9,3,600,0.00042,0.92435,0.00134,0.24985,0.30968,3.69957,0.75881,0.00081,0.277690752664639
"212",9,4,60,-0.00447,0.06811,0.00054,0.11147,-8.23242,0.61107,0,0.54157,-0.00188519268133769
"213",9,4,120,-0.00192,0.60303,6e-04,0.12212,-3.18548,4.93811,0.00173,0,0.123478372280599
"214",9,4,180,-0.00127,0.72518,0.00082,0.16463,-1.55224,4.40491,0.12348,2e-05,0.142216404596777
"215",9,4,300,-0.0018,0.62983,0.00101,0.19902,-1.78215,3.16467,0.0794,0.00236,0.120177324370969
"216",9,4,360,-0.00019,0.96273,0.00105,0.20704,-0.18404,4.64988,0.85467,2e-05,0.272692441664336
"217",9,4,600,-0.00037,0.92744,0.00119,0.22632,-0.31527,4.09795,0.75461,0.00027,0.323676214890367
"218",12,1,60,-0.00375,0.19502,0.00061,0.12216,-6.17572,1.59647,0,0.11134,0.00462927626733123
"219",12,1,120,-0.00298,0.32419,0.00081,0.15762,-3.68268,2.05676,0.00031,0.04128,0.0190879817877166
"220",12,1,180,-0.00206,0.47941,0.00095,0.17947,-2.17371,2.67125,0.03187,0.0087,0.0523803022425944
"221",12,1,300,-0.00171,0.52102,0.00117,0.20834,-1.45963,2.50081,0.14921,0.01492,0.0737367756950522
"222",12,1,360,-0.00162,0.51565,0.00128,0.22085,-1.26592,2.33485,0.21098,0.0233,0.0748763348625061
"223",12,1,600,-0.00107,0.53263,0.00186,0.2905,-0.57611,1.83346,0.56857,0.07605,0.066783842121123
"224",12,2,60,-0.00372,0.22634,0.00068,0.14254,-5.45444,1.58789,0,0.11327,0.00456159604356909
"225",12,2,120,-0.00149,0.69683,0.00085,0.17594,-1.75984,3.96054,0.0803,0.00011,0.0817309695444737
"226",12,2,180,-0.00222,0.55642,0.00077,0.16062,-2.89307,3.4642,0.00461,0.00076,0.090913986356284
"227",12,2,300,-0.00021,1.00054,0.00094,0.19591,-0.2255,5.10709,0.82231,0,0.278437914951533
"228",12,2,360,-0.00152,0.7165,0.00088,0.1806,-1.73557,3.96731,0.08845,0.00022,0.214425659331875
"229",12,2,600,-0.00178,0.6808,0.00117,0.24119,-1.52558,2.82271,0.13725,0.00824,0.178806407690177
"230",12,3,60,-0.00472,0.00762,0.00053,0.10902,-8.93705,0.06986,0,0.94435,-0.00299730553541555
"231",12,3,120,-0.00375,0.20356,0.00063,0.12884,-5.93217,1.57993,0,0.11604,0.00893258088808546
"232",12,3,180,-0.0034,0.27034,8e-04,0.16176,-4.24937,1.67123,5e-05,0.09752,0.0158965040837782
"233",12,3,300,-0.0027,0.39875,0.00092,0.18417,-2.93957,2.16509,0.00455,0.03406,0.0529164886617516
"234",12,3,360,-0.00232,0.47693,0.00101,0.2001,-2.29606,2.38347,0.02558,0.0207,0.078432649861668
